urn,schoolname,northing,easting,phase,secondary,age2to3_num,boarding_perc
106832,Badsley Moor Junior School,392774,444767,Primary,0,NA,0
114764,Stanway Fiveways Primary School,224017,595745,Primary,0,NA,0
114817,St. Michael's Primary & Nursery School,222346,598119,Primary,0,NA,0
115069,St.Andrew's C.E.Primary School,238724,575794,Primary,0,NA,0
115106,FEERING C OF E,219981,587149,Primary,0,NA,0
115261,Millfields Primary School,222078,604644,Primary,0,NA,0
116256,Nightingale Primary School,118440,443587,Primary,0,NA,0
116292,Horndean Junior School,113173,470260,Primary,0,NA,0
118873,The Maplesden Noakes School,156457,575149,Secondary,1,0,0
127416,Holy Rood Catholic Primary School,199314,508903,Primary,0,NA,0
133300,Newdale Primary School,309673,367960,Primary,0,NA,0
133343,Kew Riverside Primary School,176433,519786,Primary,0,NA,0
136087,St Vincent's Catholic Primary School,388178,377344,Primary,0,141,0
100723,Holy Trinity CE Primary School,172518,535188,Primary,0,NA,0
134195,Manchester Mesivta,403180,381751,Secondary,1,0,0
108271,Kettlethorpe High School,416814,433281,Secondary,1,0,0
106867,Dinnington Community Primary,386508,452818,Primary,0,NA,0
108687,Marsden Primary,563161,440624,Primary,0,NA,0
104039,Blossomfield Infant School,279235,412571,Primary,0,NA,0
104328,Manor Primary,294568,393496,Primary,0,NA,0
117865,Stamford Bridge Primary School,455396,471392,Primary,0,NA,0
117956,Scartho Infant's School,406603,526840,Primary,0,NA,0
109944,Manor Primary School,171876,468434,Primary,0,NA,0
115903,Oakwood Infant,156395,476774,Primary,0,NA,0
118202,West Wight Middle School,86782,433724,Middle Deemed Secondary,1,0,0
112485,Alfreton Nursery School,355327,441054,Nursery,0,NA,0
120117,Blackfordby St. Margaret's C.E,318210,433034,Primary,0,NA,0
115109,KELVEDON ST MARYS COFE CONTR.,218795,586427,Primary,0,NA,0
115135,COLNE ENGAINE CE PRIMARY SCH.,230589,585309,Primary,0,NA,0
114706,HAMILTON PRIMARY SCHOOL,224299,598770,Primary,0,NA,0
131219,BRINKLEY GROVE PRIMARY,228170,600855,Primary,0,NA,0
114823,ROACH VALE PRIMARY SCHOOL,226252,602300,Primary,0,NA,0
116302,Netley Marsh Infant School,113028,433210,Primary,0,NA,0
126475,Downton Primary,121578,417428,Primary,0,NA,0
118505,Sandgate County Primary School,135894,620849,Primary,0,NA,0
119901,Countesthorpe Nursery School,295544,456986,Nursery,0,NA,0
120455,Ingoldmells School,368803,555760,Primary,0,NA,0
122232,CAMBO FIRST SCHOOL,585856,402411,Primary,0,NA,0
124187,Anglesey Primary School,322428,424090,Primary,0,NA,0
124339,St. Werburgh's CE (A) Primary,346724,401371,Primary,0,NA,0
135053,Heronswood Primary School,274747,384293,Primary,0,NA,0
